[2026-07-22T09:26:46.083Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (1ms, ?B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784712405956 → 200 (6ms, 75856B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784712405956 → 200 (7ms, 56325B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784712405956 → pending (?ms, ?B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (27ms, 132923B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/page.js → 200 (242ms, 3789778B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/layout.js → 200 (43ms, 655258B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/layout.js → 200 (242ms, ?B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/template.js → 200 (107ms, 1867855B)
[2026-07-22T09:26:46.085Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (40ms, 234170B)
[2026-07-22T09:26:47.071Z] GET http://localhost:8000/api/me → 200 (28ms, 143B)
[2026-07-22T09:26:47.072Z] GET http://localhost:8000/api/me → 200 (1ms, 143B)
[2026-07-22T09:26:47.102Z] GET http://localhost:8000/api/seller-knowledge → 200 (57ms, 9838B)
[2026-07-22T09:26:47.102Z] GET http://localhost:8000/api/seller-knowledge → 200 (25ms, 9838B)
[2026-07-22T09:27:14.243Z] GET http://localhost:3000/dashboard/settings → 200 (27ms, 8581B)
[2026-07-22T09:27:14.276Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, ?B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784712434252 → 200 (3ms, 75856B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784712434252 → 200 (13ms, 56325B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784712434252 → pending (?ms, ?B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (31ms, 132923B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/page.js → 200 (220ms, 3789778B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/layout.js → 200 (48ms, 655258B)
[2026-07-22T09:27:14.278Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/layout.js → 200 (220ms, ?B)
[2026-07-22T09:27:14.279Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/template.js → 200 (106ms, 1867855B)
[2026-07-22T09:27:14.279Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (48ms, 234170B)
[2026-07-22T09:27:15.225Z] GET http://localhost:8000/api/me → 200 (27ms, 143B)
[2026-07-22T09:27:15.225Z] GET http://localhost:8000/api/me → 200 (2ms, 143B)
[2026-07-22T09:27:15.257Z] GET http://localhost:8000/api/seller-knowledge → 200 (25ms, 9838B)
[2026-07-22T09:27:15.257Z] GET http://localhost:8000/api/seller-knowledge → 200 (7ms, 9838B)
[2026-07-22T09:27:21.082Z] GET http://localhost:3000/dashboard/settings → 200 (26ms, 8581B)
[2026-07-22T09:27:21.114Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (2ms, ?B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784712441091 → 200 (1ms, 75856B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784712441091 → 200 (9ms, 56325B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784712441091 → pending (?ms, ?B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (28ms, 132923B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/page.js → 200 (219ms, 3789778B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/settings/layout.js → 200 (43ms, 655258B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/layout.js → 200 (219ms, ?B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app/dashboard/template.js → 200 (93ms, 1867855B)
[2026-07-22T09:27:21.116Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → 200 (93ms, 234170B)
[2026-07-22T09:27:22.071Z] GET http://localhost:8000/api/me → 200 (22ms, 143B)
[2026-07-22T09:27:22.071Z] GET http://localhost:8000/api/me → 200 (3ms, 143B)
[2026-07-22T09:27:22.102Z] GET http://localhost:8000/api/seller-knowledge → 200 (21ms, 9838B)
[2026-07-22T09:27:22.103Z] GET http://localhost:8000/api/seller-knowledge → 200 (7ms, 9838B)
